# Story words added to the vocabulary list (tools/build_vocab_data.py, "From stories" units S1...).
#
# Every word here was met in a Kanji Trail story, had no curriculum entry, and was reviewed as worth
# studying: common in speech or writing (JMdict priority-tagged), not a name, not a grammar pattern, and
# not a spelling of an entry the list already teaches. Pinned to an exact JMdict entry (ent_seq) so a
# homograph cannot slip in: のぞく is 覗く "to peek", not 除く "to remove".
#
# Add a line when tools/check_story_vocab.py reports a story word that deserves a real entry (see
# story-writing-guide.md §5a). Columns, tab-separated: surface, reading, JMdict ent_seq, first story
# level it appeared at, English (for humans; the build takes meanings from JMdict).
男の人	おとこのひと	1420020	L1	man
かぶ	かぶ	1499280	L1	turnip (Brassica rapa)
かむ	かむ	1209240	L1	to bite
からす	からす	1171450	L1	crow (Corvus spp.); raven
くちばし	くちばし	1565560	L1	beak; bill
しし	しし	1311070	L1	lion
すべる	すべる	1208640	L1	to slide; to glide; to skate
背が高い	せがたかい	1472660	L1	tall (of a person)
流される	ながされる	2860956	L1	to drift; to be carried away; to be swept awa
逃がす	にがす	1450320	L1	to set free; to let go; to release
ねずみ	ねずみ	1397840	L1	mouse; rat
水がめ	みずがめ	1371980	L1	water jug
いつまでも	いつまでも	1188880	L2	forever; eternally; for good
追い越す	おいこす	1432280	L2	to pass (e.g. car); to overtake
おいしい	おいしい	1486650	L2	good(-tasting); nice; delicious
おおかみ	おおかみ	1560940	L2	wolf (Canis lupus)
大みそか	おおみそか	1413190	L2	New Year's Eve
おじいさん	おじいさん	1002320	L2	grandfather
おつかい	おつかい	1001980	L2	errand; mission; going on an errand
おにぎり	おにぎり	1001620	L2	onigiri; rice ball (often triangular, sometim
おびえる	おびえる	1236630	L2	to become frightened; to be frightened (of); 
お湯	おゆ	1002510	L2	hot water
かさ	かさ	1207670	L2	conical hat (East-Asian style); coolie hat
菓子	かし	1195670	L2	confectionery; sweets; candy
かぶせる	かぶせる	1484320	L2	to cover (with something)
亀	かめ	1224260	L2	tortoise; turtle
雉	きじ	1591200	L2	green pheasant (Phasianus versicolor); Japane
木の実	きのみ	1534550	L2	fruit of a tree; nut; berry
この間	このあいだ	1004690	L2	the other day; lately; recently
米	こめ	1508750	L2	(husked grains of) rice
さます	さます	1206060	L2	to awaken; to arouse from sleep
猿	さる	1177390	L2	monkey (esp. the Japanese macaque, Macaca fus
ちゃんと	ちゃんと	1007720	L2	diligently; seriously; earnestly
積もる	つもる	1382990	L2	to pile up; to accumulate
手ぬぐい	てぬぐい	1598400	L2	tenugui; (hand) towel (usu. thin cotton cloth
にっこり	にっこり	1632320	L2	sweetly (smiling); broadly (grinning)
昼寝	ひるね	1426370	L2	(afternoon) nap; sleeping during the day; sie
ベンチ	べんち	1120280	L2	bench
餅	もち	1535790	L2	mochi; small rice cake made from glutinous ri
やっつける	やっつける	1612950	L2	to beat; to attack (an enemy); to do away wit
ようこそ	ようこそ	1013100	L2	welcome
楽勝	らくしょう	1207390	L2	easy victory; walkover
あの人	あのひと	1000440	L3	he; she; that person
一度も	いちども	2266600	L3	(not) even once; (not) ever
うん	うん	1001090	L3	yes; yeah; uh huh
煙突	えんとつ	1177320	L3	chimney; smokestack; funnel (of a ship)
お金持ち	おかねもち	2429350	L3	rich person; wealthy person
お腹が空く	おなかがすく	2021520	L3	to get hungry; to become hungry
斧	おの	1497080	L3	axe; ax; hatchet
檻	おり	1568410	L3	cage; pen; (jail) cell
形見	かたみ	1250260	L3	memento (esp. of a deceased person); keepsake
かぼちゃ	かぼちゃ	1582580	L3	pumpkin (Cucurbita sp.); squash
ガラス	がらす	1040380	L3	glass; pane
木こり	きこり	1350000	L3	woodcutter; lumberjack; logger
キャンディー	きゃんでぃー	1042080	L3	candy; sweets
クッキー	くっきー	1043760	L3	cookie; biscuit
国中	くにじゅう	1286850	L3	all over the country; everywhere in the count
くぼみ	くぼみ	1246830	L3	hollow; cavity; dent
くれる	くれる	1269130	L3	to give; to let (one) have
小石	こいし	1348400	L3	pebble; small stone
差し出す	さしだす	1291230	L3	to hold out; to extend (e.g. a hand)
さまよう	さまよう	1566730	L3	to loiter; to putter; to prowl
冷める	さめる	1556750	L3	to cool down; to get cold
末っ子	すえっこ	1584380	L3	youngest child
それで	それで	1007000	L3	so; therefore; and
たどる	たどる	1416690	L3	to follow (a road, path, etc.); to trace
ダンス	だんす	1077250	L3	dance; dancing
中くらい	ちゅうくらい	1581680	L3	(about) medium; middle; average
チョコレート	ちょこれーと	1078270	L3	chocolate
テープ	てーぷ	1078750	L3	tape
飛び去る	とびさる	1485300	L3	to fly away; to flee away; to scatter
取りかえる	とりかえる	1326830	L3	to exchange; to swap; to barter
馬車	ばしゃ	1471780	L3	coach (horse-drawn); carriage; wagon
ぴったり	ぴったり	1010900	L3	tightly; closely
降り始める	ふりはじめる	1282760	L3	to begin to fall (of rain, snow, etc.)
ほしがる	ほしがる	1611550	L3	to appear to want to have (something); to obv
ホーム	ほーむ	1121740	L3	platform
枕	まくら	1524860	L3	pillow; bolster
魔女	まじょ	1524150	L3	witch
魔法使い	まほうつかい	1524240	L3	magician; wizard; sorcerer
継母	ままはは	1251850	L3	stepmother
見比べる	みくらべる	1604440	L3	to compare with the eye; to judge by comparis
見守る	みまもる	1259680	L3	to watch over; to keep watch over; to keep an
読み書き	よみかき	1456250	L3	reading and writing
沸かす	わかす	1501660	L3	to boil; to heat (a liquid); to prepare (a ba
朝顔	あさがお	1428330	L4	Japanese morning glory (Ipomoea nil); picotee
あさって	あさって	1584640	L4	day after tomorrow
足場	あしば	1404860	L4	scaffold; scaffolding
泡	あわ	1517510	L4	bubble; foam; froth
いたずら	いたずら	1151580	L4	mischief; prank; trick
いっせいに	いっせいに	1164050	L4	simultaneously; all at once; in unison
インク	いんく	1022210	L4	ink
動き出す	うごきだす	2012540	L4	to start to move; to get going; to come alive
うち	うち	1191740	L4	one's house; one's home; one's family
うなずく	うなずく	1574310	L4	to nod; to bow one's head in assent; to agree
遠足	えんそく	1178260	L4	school trip; field trip; excursion
追い出す	おいだす	1432350	L4	to expel; to drive out
王妃	おうひ	1181670	L4	queen (consort); empress (consort)
音がする	おとがする	2826774	L4	to make a sound; to give off a sound
男たち	おとこたち	2854195	L4	men; males
おととい	おととい	1576050	L4	day before yesterday
おばあさん	おばあさん	1002330	L4	grandmother
おばあちゃん	おばあちゃん	2009460	L4	granny; grandma; gran
お化け	おばけ	1001670	L4	ghost; apparition
お弁当	おべんとう	1513065	L4	bento; Japanese box lunch
女の人	おんなのひと	1344980	L4	woman
怪物	かいぶつ	1200330	L4	monster
かえって	かえって	1226610	L4	on the contrary; rather; instead
帰り道	かえりみち	1221260	L4	the way back; the way home; return trip
隠れる	かくれる	1170660	L4	to hide; to conceal oneself; to take cover
駆けつける	かけつける	1590110	L4	to run to; to come running; to rush (someplac
かけら	かけら	1254090	L4	fragment; broken piece; chip
かける	かける	1207610	L4	to hang up (e.g. a coat, a picture on the wal
かげ	かげ	1590150	L4	shade; shadow
かご	かご	1590200	L4	basket (shopping, etc.); hamper; cage
カップ	かっぷ	1037670	L4	cup (drinking vessel, measure, brassiere, pri
かばん	かばん	1208910	L4	bag; satchel; briefcase
かぶる	かぶる	1484330	L4	to put on (one's head); to wear; to have on
かみつく	かみつく	1209220	L4	to bite (at); to snap at
かめ	かめ	1491110	L4	earthenware pot
狩人	かりゅうど	1328750	L4	hunter
かわいい	かわいい	1577200	L4	cute; adorable; charming
乾く	かわく	1209650	L4	to get dry
かわら	かわら	1209580	L4	tile (e.g. roof)
気がする	きがする	1221540	L4	to feel (as if); to have a feeling (that); to
急に	きゅうに	2269050	L4	swiftly; rapidly; quickly
きらきら	きらきら	1003500	L4	glittering; sparkling; glistening
金貨	きんか	1242680	L4	gold coin
銀貨	ぎんか	1243450	L4	silver coin
九月	くがつ	1243660	L4	September
くぎ	くぎ	1436840	L4	nail; spike; tack
くし	くし	1246490	L4	comb
くっつく	くっつく	1003860	L4	to adhere to; to stick to; to cling to
携帯電話	けいたいでんわ	1250690	L4	mobile phone; cell phone
